23:15:56 | INFO    | phase2                 | Phase 2 configuration: Phase2Config(min_face_detection_confidence=0.3, min_face_presence_confidence=0.3, min_tracking_confidence=0.3, output_blendshapes=False, track_break_threshold=0.08, workers=1, splits=('Train', 'Validation', 'Test'), limit_clips=0, overwrite=True)
23:15:56 | INFO    | phase2                 | Found 108 Phase 1 clip directories
23:15:56 | INFO    | engagement_pipeline.dataset | Loaded 36 label rows for split Train
23:15:56 | INFO    | engagement_pipeline.dataset | Loaded 36 label rows for split Validation
23:15:56 | INFO    | engagement_pipeline.dataset | Loaded 36 label rows for split Test
23:15:57 | INFO    | phase2                 | [1/108] Train/110001/1100011002
23:15:57 | INFO    | phase2                 | Train/110001/1100011002: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:15:57 | INFO    | phase2                 | [2/108] Train/110001/1100011003
23:15:58 | INFO    | phase2                 | Train/110001/1100011003: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:15:58 | INFO    | phase2                 | [3/108] Train/110001/1100011004
23:15:59 | INFO    | phase2                 | Train/110001/1100011004: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:15:59 | INFO    | phase2                 | [4/108] Train/110001/1100011005
23:16:01 | INFO    | phase2                 | Train/110001/1100011005: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:01 | INFO    | phase2                 | [5/108] Train/110001/1100011006
23:16:02 | INFO    | phase2                 | Train/110001/1100011006: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:02 | INFO    | phase2                 | [6/108] Train/110001/1100011007
23:16:04 | INFO    | phase2                 | Train/110001/1100011007: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:04 | INFO    | phase2                 | [7/108] Train/110001/1100011009
23:16:05 | INFO    | phase2                 | Train/110001/1100011009: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:05 | INFO    | phase2                 | [8/108] Train/110001/1100011012
23:16:06 | INFO    | phase2                 | Train/110001/1100011012: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:06 | INFO    | phase2                 | [9/108] Train/110001/1100011040
23:16:08 | INFO    | phase2                 | Train/110001/1100011040: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:08 | INFO    | phase2                 | [10/108] Train/110001/1100011048
23:16:09 | INFO    | phase2                 | Train/110001/1100011048: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:09 | INFO    | phase2                 | [11/108] Train/110001/1100012010
23:16:11 | INFO    | phase2                 | Train/110001/1100012010: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:11 | INFO    | phase2                 | [12/108] Train/110002/1100021003
23:16:12 | INFO    | phase2                 | Train/110002/1100021003: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:12 | INFO    | phase2                 | [13/108] Train/110002/1100021015
23:16:13 | INFO    | phase2                 | Train/110002/1100021015: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:13 | INFO    | phase2                 | [14/108] Train/110002/1100021055
23:16:15 | INFO    | phase2                 | Train/110002/1100021055: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:15 | INFO    | phase2                 | [15/108] Train/110002/1100022005
23:16:16 | INFO    | phase2                 | Train/110002/1100022005: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:16 | INFO    | phase2                 | [16/108] Train/110002/1100022022
23:16:17 | INFO    | phase2                 | Train/110002/1100022022: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:17 | INFO    | phase2                 | [17/108] Train/110002/1100022047
23:16:19 | INFO    | phase2                 | Train/110002/1100022047: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:19 | INFO    | phase2                 | [18/108] Train/110013/1100131017
23:16:20 | INFO    | phase2                 | Train/110013/1100131017: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:20 | INFO    | phase2                 | [19/108] Train/111003/1110031003
23:16:22 | INFO    | phase2                 | Train/111003/1110031003: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:22 | INFO    | phase2                 | [20/108] Train/111003/1110031007
23:16:23 | INFO    | phase2                 | Train/111003/1110031007: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:23 | INFO    | phase2                 | [21/108] Train/111003/1110031010
23:16:24 | INFO    | phase2                 | Train/111003/1110031010: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:24 | INFO    | phase2                 | [22/108] Train/111003/1110031011
23:16:26 | INFO    | phase2                 | Train/111003/1110031011: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:26 | INFO    | phase2                 | [23/108] Train/111003/1110031012
23:16:27 | INFO    | phase2                 | Train/111003/1110031012: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:27 | INFO    | phase2                 | [24/108] Train/111003/1110031014
23:16:28 | INFO    | phase2                 | Train/111003/1110031014: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:28 | INFO    | phase2                 | [25/108] Train/111003/1110031019
23:16:30 | INFO    | phase2                 | Train/111003/1110031019: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:30 | INFO    | phase2                 | [26/108] Train/111003/1110031020
23:16:31 | INFO    | phase2                 | Train/111003/1110031020: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:31 | INFO    | phase2                 | [27/108] Train/111003/1110031021
23:16:32 | INFO    | phase2                 | Train/111003/1110031021: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:32 | INFO    | phase2                 | [28/108] Train/111003/1110031025
23:16:34 | INFO    | phase2                 | Train/111003/1110031025: 49/49 frames landmarked, 1 track break(s) -> landmarks.parquet
23:16:34 | INFO    | phase2                 | [29/108] Train/111003/1110031027
23:16:35 | INFO    | phase2                 | Train/111003/1110031027: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:35 | INFO    | phase2                 | [30/108] Train/111003/1110031031
23:16:36 | INFO    | phase2                 | Train/111003/1110031031: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:36 | INFO    | phase2                 | [31/108] Train/111003/1110031033
23:16:38 | INFO    | phase2                 | Train/111003/1110031033: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:38 | INFO    | phase2                 | [32/108] Train/111003/1110031037
23:16:39 | INFO    | phase2                 | Train/111003/1110031037: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:39 | INFO    | phase2                 | [33/108] Train/111003/1110031038
23:16:41 | INFO    | phase2                 | Train/111003/1110031038: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
23:16:41 | INFO    | phase2                 | [34/108] Train/111003/1110031039
23:16:42 | INFO    | phase2                 | Train/111003/1110031039: 50/50 frames landmarked, 0 track break(s) -> landmarks.parquet
